Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Gateroon stabilizer","makes the bigger switches not wable",1,9.45,"","gateron"
"decoupling capacitors ( 100nF )","The capacitors are for lowering the electrical noise before the LEDs",2,3.20,"","Aliexpress"
"LEDs (SK 6812 mini E)","The LEDs bellow the switches",1,3.56,"","Aliexpress"
"keycaps","Keycaps",1,15.78,"","Aliexpress"
"Rotary encoder ( EC11E )","A knob for twisting",1,2.78,"","Aliexpress"
"Diodes ( 1N4148W )","Diodes, that stop form signal going back",2,3.60,"","Aliexpress"
"Resistors ( Pack of many )","Resistors ( 4.7 kΩ and 350Ω)",1,4.10,"","Aliexpress"
"Foam","Used for making the keyboard sound betetr, its placed bellow the PCB",1,7.77,"","Aliexpress"
"Cable for keyboard","A cool coiled cable for the cable",1,5.55,"","Aliexpress"
"PCB","PCB",1,59.00,"","JLCPCB"
"Microcontroller (YD-RP 2040)","The microcontroller for the keyboard",1,2.94,"","Aliexpress"
"Gateroon switches","These are the switches that you type on",1,29.00,"","Gateron"
"Hotswap module","These modules allow for the easy change of the switches",1,6.68,"","Gateron"
