Designator,Footprint,Quantity,Value,LCSC Part #
"BOOTSEL, GND, RESET",TestPoint_Pad_1.5x1.5mm,3,TestPoint,
"C1, C4, C5, C6, C7, C9",0805,6,100nF,
"C10, C100, C101, C102, C103, C104, C105, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",0805,96,C,
"C2, C3",0805,2,27pF,
C8,0805,1,1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96",D_SOD-123,96,1N4148W,
J1,SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm,1,debug pins,
"L1, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L2, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L3, L30, L31, L32, L33, L34, L35, L36, L37, L38, L39, L4, L40, L41, L42, L43, L44, L45, L46, L47, L48, L49, L5, L50, L51, L52, L53, L54, L55, L56, L57, L58, L59, L6, L60, L61, L62, L63, L64, L65, L66, L67, L68, L69, L7, L70, L71, L72, L73, L74, L75, L76, L77, L78, L79, L8, L80, L81, L82, L83, L84, L85, L86, L87, L88, L89, L9, L90, L91, L92, L93, L94, L95, L96",SK6812MINI-E_fixed,96,SK6812MINI-E,
P1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Plug_USB2.0,
"R1, R2",0805,2,5.1kΩ,
R10,0805,1,470,
"R3, R4",0805,2,27Ω,
"R5, R7",0805,2,10k,
R6,0805,1,1k,
RE1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,1,RotaryEncoder_Switch,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW3, SW30, SW31, SW32, SW33, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW49, SW5, SW50, SW51, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW66, SW67, SW68, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW84, SW89, SW9, SW90, SW91, SW92, SW93, SW94, SW95, SW96",Hotswap_MX_1.00u,84,SW_Push,
SW29,Hotswap_MX_2.00u,1,SW_Push,
"SW34, SW52",Hotswap_MX_2.00u_90deg,2,SW_Push,
"SW35, SW48",Hotswap_MX_1.50u,2,SW_Push,
SW53,Hotswap_MX_1.75u,1,SW_Push,
"SW65, SW69",Hotswap_MX_2.25u,2,SW_Push,
"SW85, SW86, SW87",Hotswap_MX_1.25u,3,SW_Push,
SW88,Hotswap_MX_6.25u,1,SW_Push,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
Y1,XTAL_TSX-3225_24.0000MF18X-C,1,TSX-3225_12.0000MF18X-C,
