Designator,Mid X,Mid Y,Rotation,Layer
BOOTSEL,320.14,-98.31,0.0,top
C1,317.4625,-30.0,0.0,top
C10,43.19,-42.97,90.0,bottom
C100,218.7475,-110.065,270.0,bottom
C101,257.5025,-128.695,90.0,bottom
C102,290.185,-71.965,270.0,bottom
C103,147.965,-90.595,90.0,bottom
C104,199.6975,-110.065,270.0,bottom
C105,283.69625,-128.695,90.0,bottom
C11,261.61,-71.965,270.0,bottom
C12,167.015,-90.595,90.0,bottom
C13,180.6475,-110.065,270.0,bottom
C14,314.6525,-133.458,90.0,bottom
C15,81.29,-42.97,90.0,bottom
C16,242.56,-71.965,270.0,bottom
C17,186.065,-90.595,90.0,bottom
C18,161.5975,-110.065,270.0,bottom
C19,338.465,-128.695,90.0,bottom
C2,309.4175,-63.92,0.0,bottom
C20,100.34,-42.97,90.0,bottom
C21,223.51,-71.965,270.0,bottom
C22,205.115,-90.595,90.0,bottom
C23,142.5475,-110.065,270.0,bottom
C24,357.515,-128.695,90.0,bottom
C25,119.39,-42.97,90.0,bottom
C26,204.46,-71.965,270.0,bottom
C27,224.165,-90.595,90.0,bottom
C28,123.4975,-110.065,270.0,bottom
C29,376.565,-128.695,90.0,bottom
C3,317.6,-68.99,270.0,bottom
C30,138.44,-42.97,90.0,bottom
C31,185.41,-71.965,270.0,bottom
C32,243.215,-90.595,90.0,bottom
C33,104.4475,-110.065,270.0,bottom
C34,385.435,-138.64,270.0,bottom
C35,167.015,-42.97,90.0,bottom
C36,166.36,-71.965,270.0,bottom
C37,262.265,-90.595,90.0,bottom
C38,85.3975,-110.065,270.0,bottom
C39,366.385,-148.165,270.0,bottom
C4,334.8525,-53.55,0.0,top
C40,186.065,-42.97,90.0,bottom
C41,147.31,-71.965,270.0,bottom
C42,281.315,-90.595,90.0,bottom
C43,66.3475,-110.065,270.0,bottom
C44,347.335,-148.165,270.0,bottom
C45,205.115,-42.97,90.0,bottom
C46,128.26,-71.965,270.0,bottom
C47,305.1275,-90.595,90.0,bottom
C48,40.15375,-110.065,270.0,bottom
C49,323.5225,-152.928,270.0,bottom
C5,335.0025,-49.6,0.0,top
C50,224.165,-42.97,90.0,bottom
C51,109.21,-71.965,270.0,bottom
C52,338.465,-90.595,90.0,bottom
C53,55.09625,-128.695,90.0,bottom
C54,304.4725,-152.928,270.0,bottom
C55,252.74,-42.97,90.0,bottom
C56,90.16,-71.965,270.0,bottom
C57,357.515,-90.595,90.0,bottom
C58,86.0525,-128.695,90.0,bottom
C59,285.4225,-152.928,270.0,bottom
C6,335.1425,-47.46,0.0,top
C60,271.79,-42.97,90.0,bottom
C61,71.11,-71.965,270.0,bottom
C62,376.565,-90.595,90.0,bottom
C63,105.1025,-128.695,90.0,bottom
C64,261.61,-148.165,270.0,bottom
C65,290.84,-42.97,90.0,bottom
C66,52.06,-71.965,270.0,bottom
